序号	class	pdate	sequence	amount	forecast
 253	1	763	20170123	6.407537263899E8	
 254	1	764	20170124	7.2210773297E8	
 255	1	768	20170128	4.753835372499E8	
 256	1	781	20170210	7.5835936829101E9	
 257	1	784	20170213	4.369717343499E8	
 258	1	786	20170215	5.3001731094E8	
 259	1	787	20170216	4.3815163382E8	
 260	1	789	20170218	3.5462719452E8	
 261	1	791	20170220	4.8948086205E8	
 262	1	802	20170303	1.57868433984E9	
 263	1	804	20170305	1.2471092451799E9	
 264	1	811	20170312	4.1651325046E8	
 265	1	813	20170314	4.402100793E8	
 266	1	817	20170318	4.0492946892E8	
 267	1	819	20170320	5.5886725724E8	
 268	1	820	20170321	5.4368847134E8	
 269	1	825	20170326	5.150166544899E8	
 270	1	832	20170402	2.67796791106E9	
 271	1	837	20170407	2.69928795156E9	
 272	1	839	20170409	7.5055739750902E9	
 273	1	841	20170411	7.874036840899E8	
 274	1	843	20170413	5.015828188E8	
 275	1	845	20170415	5.1224894883E8	
 276	1	850	20170420	6.118574344099E8	
 277	1	851	20170421	5.7005952668E8	
 278	1	854	20170424	6.5567246895E8	
 279	1	858	20170428	1.0207920268299E9	
 280	1	859	20170429	8.733732173299E8	
 281	1	862	20170502	3.73840492153E9	
 282	1	865	20170505	2.07191179205E9	
 283	1	878	20170518	5.8804440693E8	
 284	1	879	20170519	6.264516518399E8	
 285	1	883	20170523	6.6090086812E8	
 286	1	887	20170527	8.957759742999E8	
 287	1	891	20170531	1.4143616994599E9	
 288	1	892	20170601	5.2762650929102E9	
 289	1	893	20170602	3.49639581218E9	
 290	1	895	20170604	1.8838833547099E9	
 291	1	897	20170606	2.81657443663E9	
 292	1	898	20170607	2.90705133945E9	
 293	1	899	20170608	3.61810588803E9	
 294	1	903	20170612	7.599294826499E8	
 295	1	906	20170615	8.723117935199E8	
 296	1	909	20170618	7.091737350099E8	
 297	1	911	20170620	8.089290329699E8	
 298	1	916	20170625	7.423390786799E8	
 299	1	920	20170629	1.1100881983499E9	
 300	1	927	20170706	3.21127537741E9	
 301	1	928	20170707	3.61128148893E9	
 302	1	930	20170709	1.17495865825698E10	
 303	1	933	20170712	7.478275988899E8	
 304	1	945	20170724	8.372490567099E8	
 305	1	948	20170727	9.763425227899E8	
 306	1	949	20170728	1.1095860247799E9	
 307	1	950	20170729	9.954759692099E8	
 308	1	953	20170801	6.3251024485702E9	
 309	1	955	20170803	2.82533971543E9	
 310	1	957	20170805	2.43869639709E9	
 311	1	958	20170806	2.74401453218E9	
 312	1	959	20170807	3.89430198373E9	
 313	1	963	20170811	1.1441256551099E9	
 314	1	966	20170814	7.899615335399E8	
 315	1	976	20170824	9.732952017299E8	
 316	1	978	20170826	9.325875183399E8	
 317	1	983	20170831	1.8832205357499E9	
 318	1	984	20170901	6.4718908311503E9	
 319	1	985	20170902	4.7457310880801E9	
 320	1	986	20170903	2.9658810997E9	
 321	1	987	20170904	3.34819519631E9	
 322	1	988	20170905	3.4135729606E9	
 323	1	994	20170911	1.4364186412999E9	
 324	1	1000	20170917	8.623355593299E8	
 325	1	1003	20170920	1.1256561261199E9	
 326	1	1006	20170923	9.854235904899E8	
 327	1	1009	20170926	1.3426062048099E9	
 328	1	1015	20171002	3.8966265753701E9	
 329	1	1019	20171006	3.5777636048E9	
 330	1	1020	20171007	4.5782782814301E9	
 331	1	1029	20171016	1.1953812448499E9	
 332	1	1035	20171022	8.515699950399E8	
 333	1	1042	20171029	1.3793821336399E9	
 334	1	1043	20171030	1.8153449697899E9	
 335	1	1044	20171031	2.47609244361E9	
 336	1	1046	20171102	5.6024008710702E9	
 337	1	1047	20171103	4.0145679279901E9	
 338	1	1048	20171104	3.23003758208E9	
